date,tmin,tmax,prcp,snow,snwd,awnd
01/01/2017,41,50,0.54,0,0,6.49
08/01/2017,15,27,0,0,1.2,4.92
16/01/2017,44,51,0,0,0,4.47
23/01/2017,43,60,0.28,0,0,9.84
07/02/2017,49,76,0,0,0,12.53
08/02/2017,54,74,0.09,0,0,5.82
21/02/2017,44,66,0,0,0,5.82
24/02/2017,47,80,0,0,0,3.58
25/02/2017,52,81,0,0,0,13.2
26/02/2017,37,56,0,0,0,4.47
02/03/2017,39,62,0,0,0,8.05
03/03/2017,31,54,0,0,0,6.71
08/03/2017,46,69,0.05,0,0,8.5
20/03/2017,30,66,0,0,0,3.58
03/04/2017,50,76,0.4,0,0,9.17
05/04/2017,53,78,0.32,0,0,6.71
06/04/2017,50,70,0.09,0,0,15.21
07/04/2017,43,59,0,0,0,11.86
09/04/2017,38,77,0,0,0,4.47
11/04/2017,55,82,0,0,0,10.51
18/04/2017,61,74,0.03,0,0,9.62
25/04/2017,58,70,2.17,0,0,6.93
13/05/2017,52,66,0.23,0,0,4.47
19/05/2017,68,89,0,0,0,8.05
20/05/2017,67,90,0,0,0,7.38
22/05/2017,68,80,0.3,0,0,8.05
23/05/2017,67,71,0.69,0,0,4.47
29/05/2017,64,87,0.08,0,0,3.13
01/06/2017,62,85,0,0,0,1.57
02/06/2017,61,85,0,0,0,3.8
04/06/2017,61,90,0.38,0,0,5.82
12/06/2017,67,89,0,0,0,6.49
14/06/2017,66,93,0,0,0,5.82
15/06/2017,70,91,0,0,0,3.36
02/07/2017,71,92,0,0,0,4.47
05/07/2017,70,89,0.47,0,0,2.46
11/07/2017,71,95,0,0,0,6.93
16/07/2017,73,91,0.05,0,0,5.14
19/07/2017,67,94,0,0,0,2.68
20/07/2017,71,99,0,0,0,3.8
22/07/2017,76,101,0,0,0,10.74
03/08/2017,68,94,0,0,0,3.8
04/08/2017,68,92,0,0,0,7.16
07/08/2017,74,92,0.04,0,0,10.96
13/08/2017,73,81,0.73,0,0,6.26
21/08/2017,71,93,0,0,0,3.13
27/08/2017,63,81,0,0,0,9.17
31/08/2017,69,87,0.01,0,0,7.16
04/09/2017,59,87,0,0,0,3.58
13/09/2017,61,84,0,0,0,6.71
22/09/2017,61,89,0,0,0,2.24
25/09/2017,63,83,0,0,0,6.71
20/10/2017,43,77,0,0,0,2.01
21/10/2017,48,79,0,0,0,2.01
23/10/2017,61,76,1.12,0,0,10.74
30/10/2017,36,59,0,0,0,6.93
31/10/2017,39,69,0,0,0,1.79
08/11/2017,43,45,0.13,0,0,8.28
09/11/2017,45,50,0.27,0,0,4.03
23/11/2017,29,50,0,0,0,2.68
24/11/2017,26,57,0,0,0,1.57
26/11/2017,33,62,0,0,0,2.91
01/12/2017,41,63,0,0,0,5.14
03/12/2017,42,64,0,0,0,2.46
12/12/2017,30,53,0,0,0,9.62
18/12/2017,35,61,0,0,0,2.01
20/12/2017,48,56,0.42,0,0,2.46
25/12/2017,30,47,0,0,0,7.61
26/12/2017,27,43,0,0,0,2.24
28/12/2017,18,30,0,0,0,7.83
29/12/2017,15,42,0,0,0,2.01
30/12/2017,27,52,0,0,0,4.92
17/01/2018,23,38,0.49,5.9,0,5.82
29/01/2018,33,52,0.59,0,0,8.05
01/02/2018,31,62,0,0,0,13.2
06/02/2018,29,59,0,0,0,5.37
13/02/2018,37,44,0,0,0,8.72
15/02/2018,54,75,0,0,0,14.32
16/02/2018,56,81,0.02,0,0,13.42
19/02/2018,40,50,0.3,0,0,2.46
20/02/2018,50,72,0,0,0,3.36
21/02/2018,63,77,0,0,0,8.95
13/03/2018,29,48,0,0,1.2,6.71
17/03/2018,34,71,0.27,0,0,6.26
22/03/2018,32,53,0,0,0,6.04
08/04/2018,32,52,0,0,0,4.92
09/04/2018,40,57,0,0,0,5.14
19/04/2018,45,76,0,0,0,10.96
20/04/2018,34,65,0,0,0,2.91
22/04/2018,42,70,0,0,0,5.59
03/05/2018,57,85,0,0,0,11.86
09/05/2018,50,79,0,0,0,4.7
12/05/2018,67,92,0,0,0,6.26
22/05/2018,67,85,0.05,0,0,5.82
24/05/2018,68,84,0,0,0,6.93
10/06/2018,67,91,0.2,0,0,4.47
14/06/2018,70,91,0,0,0,4.47
15/06/2018,69,86,0,0,0,5.82
17/06/2018,70,93,0,0,0,5.37
01/07/2018,73,95,0.48,0,0,5.82
07/07/2018,67,79,0.65,0,0,9.4
09/07/2018,57,87,0,0,0,3.58
15/07/2018,68,95,0,0,0,6.04
28/07/2018,71,91,0.84,0,0,4.25
29/07/2018,70,88,0.07,0,0,4.25
30/07/2018,72,86,0.72,0,0,4.47
31/07/2018,73,87,0.22,0,0,5.37
02/08/2018,71,89,0.26,0,0,7.83
06/08/2018,72,92,0.05,0,0,2.91
12/08/2018,70,89,0.8,0,0,2.91
21/08/2018,71,87,0.01,0,0,9.4
25/08/2018,59,83,0,0,0,2.68
26/08/2018,60,88,0,0,0,2.68
29/08/2018,72,94,0,0,0,7.38
13/09/2018,74,81,0.28,0,0,11.18
14/09/2018,73,79,2.5,0,0,20.36
20/09/2018,67,87,0,0,0,4.25
26/09/2018,66,87,0.12,0,0,5.37
27/09/2018,70,79,0.21,0,0,4.25
10/10/2018,69,81,0.1,0,0,7.61
12/10/2018,51,71,0,0,0,2.91
